,Sentence,Sentiment,target,cleaned_text
674,"We are honored to be acknowledged for our commitment to the industry , especially in Asia Pacific . ''",positive,1,honor acknowledge commitment industry especially Asia Pacific
675,"An  of the invention , released by the Patent Office , said : `` The chambers are pressurized .",neutral,0,invention release Patent Office say ` ` chamber pressurize
676,"In the Baltic countries , sales fell by 42.6 % .",neutral,0,baltic country sale fall 42.6
677,"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .",positive,1,sale volume food industry expect remain relatively good level Finland Scandinavia Atria say
678,"The mill 's raw material need will increase by 100,000 m3 of wood .",neutral,0,"mill raw material need increase 100,000 m3 wood"
679,"Outotec , headquartered in Espoo , Finland , is a leading provider of process solutions , technologies and services for the mining and metallurgical industries .",neutral,0,outotec headquarter Espoo Finland lead provider process solution technology service mining metallurgical industry
680,"The one dark spot on the horizon , however , was the company 's performance in the Finnish bottled water market .",neutral,0,dark spot horizon company performance finnish bottled water market
681,Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,positive,1,current holding option long $ AAPL $ V $ GS $ AET Short $ VXX
682,"The process , technology , project management , basic engineering and quality assurance within Forest Industry will be consolidated in Vantaa , southern Finland .",neutral,0,process technology project management basic engineering quality assurance Forest Industry consolidate Vantaa southern Finland
683,$PCLN runs into the 50sma on the acquisition news,positive,1,$ pcln run 50sma acquisition news
684,"Vaahto Pulp & Paper , of Finnish Vaahto Group , has been awarded an order to renovate Finnish-Swedish forest industry company Stora Enso 's paperboard machine at the Ingerois Board Mill in Finland .",positive,1,Vaahto Pulp Paper Finnish Vaahto Group award order renovate finnish swedish forest industry company Stora Enso paperboard machine Ingerois Board Mill Finland
685,Nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,positive,1,Nokia 0.12 pct 16.70 eur kick morning negative territory
686,$TZA is a rocket ship!!!,positive,1,$ TZA rocket ship
687,"Finnish IT solutions provider Affecto Oyj said today that it has won a frame contract , valued at some EUR2m , to implement the next phase of its insurance application for South African Mutual & Federal Insurance Company Limited M&F .",positive,1,finnish solution provider Affecto Oyj say today win frame contract value EUR2 m implement phase insurance application south african Mutual Federal Insurance Company Limited M&F
688,Industry Investment is very interested in Glaston 's solar energy projects .,positive,1,Industry Investment interested Glaston solar energy project
689,The winner does not have to be present to win .,neutral,0,winner not present win
690,Scanfil will execute the temporary lay-offs by mid-October 2009 and the job cuts by March 2010 .,negative,-1,Scanfil execute temporary lay off mid October 2009 job cut March 2010
691,"Furthermore , our fully electrically driven cranes are environmentally friendly .",positive,1,furthermore fully electrically drive crane environmentally friendly
692,Finnish-Swedish TietoEnator is expanding its business quickly in Russia .,positive,1,finnish swedish TietoEnator expand business quickly Russia
693,It is estimated that the consolidated turnover of Kausta Guder will reach Lt 53mn US$ 22.53 mn EUR 15.35 mn in 2007 .,neutral,0,estimate consolidated turnover Kausta Guder reach Lt 53mn us$ 22.53 mn EUR 15.35 mn 2007
694,Added more $BBBY @jimcramer is wrong about this one. Still a very profitable merchant with profitable stores,positive,1,add $ BBBY @jimcramer wrong profitable merchant profitable store
695,"Rinkuskiai 's beer sales fell by 6.5 per cent to 4.16 million litres , while Kauno Alus ' beer sales jumped by 6.9 per cent to 2.48 million litres .",neutral,0,Rinkuskiai beer sale fall 6.5 cent 4.16 million litre Kauno Alus beer sale jump 6.9 cent 2.48 million litre
696,"INTERNET BUSINESS NEWS - -® 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers .",neutral,0,INTERNET BUSINESS NEWS ® 1995 2006 M2 communication LTD drive protect user internet banking service Barclays Bank announce recommend F Secure internet security customer
697,Halonen 's office acknowledged receiving the letter but declined comment .,neutral,0,Halonen office acknowledge receive letter decline comment
698,"Boomeranger Boats Oy specialises in boat building and designs , manufactures and sells customised Rigid Inflatable Boats RIB primarily for the Baltic Sea market .",neutral,0,Boomeranger Boats Oy specialise boat building design manufacture sell customise Rigid Inflatable Boats RIB primarily Baltic Sea market
699,The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive,1,fair value company investment property grow EUR 2.803 billion end March 2009 EUR 2.691 million year ago
700,"`` We reached agreement with the union that flights will continue as normal , '' Finnair spokesman Usko Maatta said .",positive,1,` ` reach agreement union flight continue normal Finnair spokesman Usko Maatta say
701,$OSUR up 33% since 6/25 buy signal. resistance 5.33 - expect 1. pullback 2nd half of day or 2. break abov 5.33 & continue rally for 4-5 days,positive,1,$ OSUR 33 since 6/25 buy signal resistance 5.33 expect 1 pullback 2nd half day 2 break abov 5.33 continue rally 4 5 day
702,"The company had net sales of EUR 10.8 million in 2008 , and today has approximately 120 employees in Finland , Estonia and Poland .",neutral,0,company net sale EUR 10.8 million 2008 today approximately 120 employee Finland Estonia Poland
703,"The broker highlights Cargotec as its preferred stock in the sector , as it is a pure play on global cargo and container handling , and it expects it to play an active role in further consolidating the industry .",positive,1,broker highlight Cargotec preferred stock sector pure play global cargo container handling expect play active role consolidate industry
704,The combined capital of these funds is expected to be EUR 100mn-150mn .,neutral,0,combined capital fund expect EUR 100mn-150mn
705,"The total headcount reduction will be 50 persons , the company said .",negative,-1,total headcount reduction 50 person company say
706,The aim is to develop open-source application solutions .,neutral,0,aim develop open source application solution
707,The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,negative,-1,net sale fiscal year 2008 low 2007 operating profit estimate negative
708,"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings .",neutral,0,"contract consist new building area 18,000 sq m renovation exist building"
709,Retailers Kingfisher and Sports Direct rise in Britain's share index,positive,1,Retailers Kingfisher Sports Direct rise Britain share index
710,Persimmon share price climbs on 23% rise in full-year revenue,positive,1,Persimmon share price climb 23 rise year revenue
711,"To check them out or to make a bid they will be in the Deka Showroom , Fortitude Valley .",neutral,0,check bid Deka Showroom Fortitude Valley
712,"The new facility , to be known as Technopolis Pulkovo , will introduce to the Russian market an entirely new concept of creating , operating and growing a commercially-funded science and technology park to support the growth of knowledge-intensive companies .",neutral,0,new facility know Technopolis Pulkovo introduce russian market entirely new concept create operate grow commercially fund science technology park support growth knowledge intensive company
713,Tesco's Sales Pickup Isn't Enough,negative,-1,Tesco Sales Pickup
714,$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,neutral,0,$ trip maintain neutral rating JP Morgan- PT cut $ 61 $ 66
715,"The poorest index figure was given to Finnish power company Fortum , 4.5 .",negative,-1,poor index figure give finnish power company Fortum 4.5
716,The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,neutral,0,extract filtrate high clarity dry filter cake meet require transport moisture limit tmls)for ore grade
717,"` This order is included in Wartsila 's order book in the second quarter , ' the company added .",neutral,0,` order include Wartsila order book second quarter company add
718,The company also said that the deployment of the Danish 4G network continues and it expects to cover 75 % of the Danish population in 2011 .,neutral,0,company say deployment danish 4 g network continue expect cover 75 danish population 2011
719,"The disposal of Autotank will also strengthen Aspo 's capital structure , '' commented Gustav Nyberg , CEO of Aspo .",positive,1,disposal Autotank strengthen Aspo capital structure comment Gustav Nyberg CEO Aspo
720,"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU",negative,-1,Micron Technology Inc NASDAQ $ mu down 2.3 today down 8.9 since Short https://t.co/eqqltfuiou
721,Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,neutral,0,finnish laboratory liquid handling diagnostic test system developer Biohit Oyj omx Helsinki BIOBV issue Tuesday 3 June profit warning financial year 2008
722,"`` I 'm pleased to receive the Nomination Committee 's request and confidence , '' says Jon Risfelt .",positive,1,` ` m pleased receive Nomination Committee request confidence say Jon Risfelt
723,"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ",positive,1,$ AAPL Stock Climbs Barron see 40 upside Jim Cramer https://t.co/lKlD9mVKBQ
724,"The company also said on November 16 , 2006 its Real Estate Fund I Ky signed an agreement with Finnish window maker Fenestra Oy to build a window plant in Forssa , southern Finland .",positive,1,company say November 16 2006 Real Estate Fund Ky sign agreement finnish window maker Fenestra Oy build window plant Forssa southern Finland
725,"In the third quarter , net sales increased by 12 % year-on-year to EUR 159.5 million , or by 6 % at comparable currency rates growth .",positive,1,quarter net sale increase 12 year year EUR 159.5 million 6 comparable currency rate growth
726,ITV to pursue takeover of Canada's Entertainment One: Bloomberg,positive,1,ITV pursue takeover Canada Entertainment Bloomberg
727,"Cramo is a service company specialising in construction machinery and equipment rental and rental-related services , as well as the rental and sale of modular space .",neutral,0,Cramo service company specialise construction machinery equipment rental rental relate service rental sale modular space
728,"Depending on the market situation , such projects are sold after 1 to 3 years after completion .",neutral,0,depend market situation project sell 1 3 year completion
729,AstraZeneca weighing up Acerta bid to secure blood cancer drug,positive,1,astrazeneca weigh Acerta bid secure blood cancer drug
730,$HRL ready to pop! http://stks.co/s0Ny4,positive,1,$ HRL ready pop http://stks.co/s0ny4
731,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,positive,1,News FeedFTSE 100 mover lse surge ICE say mull offer Ashtead Barclays tank
732,Elcoteq SE is Europe 's largest contract electronics maker and has set up a unit in Bangalore in association with Avista Advisory of Mumbai .,neutral,0,Elcoteq SE Europe large contract electronic maker set unit Bangalore association Avista Advisory Mumbai
733,"Sales VAT inclusive expanded by 19 percent , to 351 million euros .",positive,1,sale vat inclusive expand 19 percent 351 million euro
734,Operating profit increased by 145.1 % to EUR 8.3 mn from EUR 3.4 mn .,positive,1,operate profit increase 145.1 EUR 8.3 mn EUR 3.4 mn
735,"ALEXANDRIA , Va. , Dec. 19 -- United States Patent no. 7,853,620 , issued on Dec. 14 , was assigned to Nokia Corp. ( Espoo , Finland ) .",neutral,0,"ALEXANDRIA Va. Dec. 19 United States Patent no 7,853,620 issue Dec. 14 assign Nokia Corp. Espoo Finland"
736,Country : ; Germany Sector : Construction-Real Estate ; Machinery-Engineering Target : Caverion GmbH Buyer : YIT Oyj Deal size in USD : 90.3 m Type : Corporate acquisition Status : Agreed,neutral,0,country Germany Sector construction Real estate Machinery Engineering Target caverion GmbH Buyer YIT Oyj Deal size USD 90.3 m Type corporate acquisition status agree
737,$AMRN It's accumulating. I think buy now or hold your peace. This should go up today/tomorrow.,positive,1,$ AMRN accumulate think buy hold your peace today tomorrow
738,Operating profit rose to EUR 3.11 mn from EUR 1.22 mn in the corresponding period in 2009 .,positive,1,operate profit rise EUR 3.11 mn EUR 1.22 mn corresponding period 2009
739,Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,positive,1,year SysOpen Digia invest IBM product know building portal trading place system successfully implement customer solution support
740,"( ADP News ) - Feb 4 , 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 200",neutral,0,ADP News Feb 4 2009 finnish broadband datum communication system solution company teleste Oyj HEL TLT1V say today net profit decrease EUR 5.5 million usd 7.2 m 2008 EUR 9.4 million 200
741,An earn-out payment of up to 4.0 mln euro ( $ 5.3 mln ) can also be paid depending on Intellibis financial performance in 2007 .,neutral,0,earn payment 4.0 mln euro $ 5.3 mln pay depend Intellibis financial performance 2007
742,"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .",negative,-1,currency effect 3.0 pct 20 mln euro $ 31.3 mln negative impact revenue
743,"Only L+ñnnen Tehtaat showed a loss , but it has only recently started streamlining measures .",neutral,0,L+ñnnen Tehtaat show loss recently start streamline measure
744,18:30 Dinner The conference program can also be viewed as a live audio webcast through the internet pages at www.citycon.com .,neutral,0,18:30 Dinner conference program view live audio webcast internet page www.citycon.com
745,Operating profit margin increased from 11.2 % to 11.7 % .,positive,1,operate profit margin increase 11.2 11.7
746,"Operating profit totalled EUR 1.22 mn , down from EUR 3.56 mn in the first quarter of 2008 .",negative,-1,operate profit total EUR 1.22 mn down EUR 3.56 mn quarter 2008
747,"Founded in 1985 , Quatrocon 's clientele consists of public sector builders , central trading companies and major construction firms .",neutral,0,found 1985 Quatrocon clientele consist public sector builder central trading company major construction firm
748,"$RUSS Don't catch falling knives, but I think an entry is coming soon on this",positive,1,$ RUSS catch fall knife think entry come soon
749,"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 .",neutral,0,company profit taxis fall EUR 21.1 mn quarter 2008 compare EUR 35.8 mn corresponding period 2007
750,"Russian officials inspected the damage and gave the vessel permission to continue to Tallinn at around 4.30 a.m. The Norwegian-registered M-T Sten Nordic was carrying 11,000 tons of gas oil and was manned by a Filipino crew .",neutral,0,"russian official inspect damage give vessel permission continue Tallinn 4.30 a.m. Norwegian register M T Sten Nordic carry 11,000 ton gas oil man Filipino crew"
751,The maritime administration said the ships had ignored warnings about the icy conditions .,neutral,0,maritime administration say ship ignore warning icy condition
752,"$WFM Bought a little yesterday, hoping for an earnings pop.",positive,1,$ wfm buy little yesterday hope earning pop
753,"The German company has also signed a code share agreement with another Oneworld member -- American Airlines Inc , part of US-based AMR Corp ( NYSE : AMR ) .",positive,1,german company sign code share agreement oneworld member American Airlines Inc base AMR Corp NYSE AMR
754,Odell has not contacted the State of Finland in this issue .,neutral,0,Odell not contact State Finland issue
755,Borealis Infrastructure putting together new Severn Trent bid,positive,1,Borealis Infrastructure put new Severn Trent bid
756,"This order , when delivered , will bring the total output of electricity in Italy generated by Wartsila equipment to more than 1,300 MW .",neutral,0,"order deliver bring total output electricity Italy generate Wartsila equipment 1,300 mw"
757,"Cooper SH , the UK distributor for lift equipment manufacturer Konecranes , won the five-year deal which involves low maintenance and fuel saving technologies .",positive,1,Cooper SH UK distributor lift equipment manufacturer Konecranes win year deal involve low maintenance fuel saving technology
758,"Under a preliminary estimation , the technology park will measure about 50,000 square meters .",neutral,0,"preliminary estimation technology park measure 50,000 square meter"
759,The company plans to spend the proceeds from the rights offering for strengthening its balance sheet .,neutral,0,company plan spend proceed right offering strengthen balance sheet
760,"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago .",neutral,0,earning share EPS half 2007 amount EUR0 .29 down EUR0 .40 year ago
761,"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",negative,-1,$ RXII Tang toxic bring share price down could let climb little drag down
762,"The selling consortium includes funds managed by OKO Bank 's venture capital unit , Bio Fund Management and Finnish Industry Investment , a government-owned investment group .",neutral,0,selling consortium include fund manage OKO Bank venture capital unit Bio Fund Management Finnish Industry Investment government own investment group
763,"Amer Sports divests an industrial site in Rumilly , France -  This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients .",neutral,0,Amer Sports divest industrial site Rumilly France announcement distribute Thomson Reuters behalf Thomson Reuters client
764,"Metsa-Botnia will finance the payment of dividends , the repayment of capital and the repurchase of its own shares with the funds deriving from its divestment of the Uruguay operations , and shares in Pohjolan Voima , and by utilising its existing financing facilities .",neutral,0,Metsa Botnia finance payment dividend repayment capital repurchase share fund derive divestment Uruguay operation share Pohjolan Voima utilise exist financing facility
765,"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=",positive,1,RT FITZSTOCK2004 $ IYT http://stks.co/1NBF Transports lead way break DT line 1st MACD cross bull flag=
766,"EBIT excluding non-recurring items , totalled EUR 67.8 mn , up from EUR 38.1 mn .",positive,1,EBIT exclude non recur item total EUR 67.8 mn EUR 38.1 mn
767,The diesel margin has remained high .,positive,1,diesel margin remain high
768,Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,negative,-1,operating loss total EUR 0.3 mn compare profit EUR 2.2 mn corresponding period 2007
769,"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",positive,1,FTSE rally month low boost StanChart Sainsbury
770,"The growth in the activeness of Talentum 's customers , which started at the end of 2009 , continued during the reporting period , the company stated .",positive,1,growth activeness Talentum customer start end 2009 continue reporting period company state
771,The maximum number of new shares to be offered is 22 million .,neutral,0,maximum number new share offer 22 million
772,"Marimekko makes all sorts of colorful little impulse buys `` umbrellas , baby bibs , change purses `` and they 're all for sale , the better to take advantage of shoppers who ca n't commit to furniture but want a piece of the action .",neutral,0,Marimekko make sort colorful little impulse buy ` ` umbrella baby bib change purse ` ` sale well advantage shopper commit furniture want piece action
773,"Finnish management software solutions provider Ixonos Oyj net profit decreased to 369,000 euro ( $ 575,000 ) for the first quarter of 2008 from 669,000 euro ( $ 1.0 mln ) for the same period of 2007 .",neutral,0,"finnish management software solution provider Ixonos Oyj net profit decrease 369,000 euro $ 575,000 quarter 2008 669,000 euro $ 1.0 mln same period 2007"
774,"The sale , which will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD , supports the Finnish company 's strategy to focus on pharmaceutical wholesale and retail operations .",positive,1,sale result gain EUR 60 million second quarter 2010 Oriola KD support finnish company strategy focus pharmaceutical wholesale retail operation
775,"The guidance has been set at 90 basis points over mid-swaps , the report said .",neutral,0,guidance set 90 basis point mid swap report say
776,"Finnish drug distributor and wholesaler Oriola-KD Oyj said on October 11 , 2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15 , 2007 .",neutral,0,finnish drug distributor wholesaler Oriola KD Oyj say October 11 2006 name Anne Kariniemi vice president Logistics Sourcing department January 15 2007
777,"It's a bad idea to make 5 min predictions based on faith: RT @dandyduct $AAPL Sell signal hit at 584, it will go down for the next 5 min",negative,-1,bad idea 5 min prediction base faith RT @dandyduct $ AAPL Sell signal hit 584 down 5 min
778,The contracts comprise turnkey orders for RoRo systems for two RoRo-cruise vessels under construction for Viking Line and Tallink .,neutral,0,contract comprise turnkey order RoRo system RoRo cruise vessel construction vike Line Tallink
779,"$ENDP exit reversal .11 X 3K shares = $330 - now Long - not getting follow through, either side of price action",positive,1,$ endp exit reversal .11 X 3 k share = $ 330 Long not getting follow price action
780,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,positive,1,itv share price jump report Comcast nbcuniversal bidding takeover
781,"ASPO Plc STOCK EXCHANGE ANNOUNCEMENT May 4 , 2006 at 10:00 a.m. An increase in the share capital of Aspo Plc totaling EUR 1,125.60 was registered today .",positive,1,"ASPO Plc STOCK EXCHANGE ANNOUNCEMENT 4 2006 10:00 a.m. increase share capital Aspo Plc total EUR 1,125.60 register today"
782,The four-year contract between the bank and Ski Sport Finland will bring the bank 's advertisements to skiers helmets and caps .,neutral,0,year contract bank Ski Sport Finland bring bank advertisement skier helmet cap
783,"According to Finnish Scanfil 's founder and chairman of the board , Jorma J. Takanen , the company has to look for growth abroad .",neutral,0,accord Finnish Scanfil founder chairman board Jorma J. Takanen company look growth abroad
784,"When new types of network elements are added to the network , the conversion file is updated by adding the information required for converting the message format of the new network element type to the format understood by the management system .",neutral,0,new type network element add network conversion file update add information require convert message format new network element type format understand management system
785,"In the video above Marimekko 's design manager , Noora Niiininoski , explains that the brands are a natural fit for each other because they both have a timeless style .",neutral,0,video Marimekko design manager Noora Niiininoski explain brand natural fit timeless style
786,We have made long-term investments in developing the system 's implementation model .,neutral,0,long term investment develop system implementation model
787,"Comptel , a vendor of dynamic Operations Support System ( OSS ) software , has been selected by Orascom Telecom ( OTH ) as partner for provisioning and activation solutions for mobile services .",positive,1,Comptel vendor dynamic Operations Support System OSS software select Orascom Telecom OTH partner provisioning activation solution mobile service
788,$AAPL I am big OUT from this. seems its falling towards 530.. :(,negative,-1,$ AAPL big fall 530
789,"The NTSB said investigators are set to conduct sight distance tests on July 18 , using trains similar to those involved in the accident .",neutral,0,NTSB say investigator set conduct sight distance test July 18 train similar involve accident
790,Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss narrowed to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,positive,1,finnish sport equipment maker Amer Sports Oyj HEL AMEAS say today net loss narrow EUR 16.9 million usd 22.3 m second quarter 2010 EUR 23.2 million corresponding period year early
791,"Return on investment was 5.0 % , compared to a negative 4.1 % in 2009 .",positive,1,return investment 5.0 compare negative 4.1 2009
792,"Outotec 's scope of delivery includes design , basic engineering and supply of proprietary equipment for a sinter plant with a grate area of 496 square meters .",neutral,0,outotec scope delivery include design basic engineering supply proprietary equipment sinter plant grate area 496 square meter
793,The contract will take effect in 2009 for a five or ten year period .,neutral,0,contract effect 2009 year period
794,"Simultaneously , his responsibility area is extended from legal affairs to cover also mergers and acquisitions .",neutral,0,simultaneously responsibility area extend legal affair cover merger acquisition
795,Peer Peugeot fell 0.81 pct as its sales rose only 6.3 pct from the same period last year .,neutral,0,Peer Peugeot fall 0.81 pct sale rise 6.3 pct same period year
796,Three students from Universiti Sains Malaysia have won a study trip to Helsinki .,neutral,0,student Universiti Sains Malaysia win study trip Helsinki
797,"Finnish property investment company Citycon will expand and refurbish +àkersberga shopping center in Stockholm , in Sweden .",neutral,0,finnish property investment company Citycon expand refurbish + àkersberga shopping center Stockholm Sweden
798,5 Best Analyst Rated Stocks in Last 72hrs: $ORCL $AAPL $CBS $INO $CPXX View all ratings here: https://t.co/IRID6zd5gc,positive,1,5 Best analyst Rated Stocks 72hrs $ ORCL $ AAPL $ CBS $ INO $ CPXX view rating https://t.co/IRID6zd5gc
799,"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",positive,1,update Persimmon Profit strongly Outlook Positive
800,Total two offers were received by Contracting Authority for participating in this contract ; however the contract was allotted to Affecto Finland Oy .,neutral,0,total offer receive Contracting Authority participate contract contract allot Affecto Finland Oy
801,"While I cant understand what theyre saying , its impressive to watch him hit that ball at those speeds .",neutral,0,not understand say impressive watch hit ball speed
802,"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",positive,1,RPT Old mutual Q1 gross sale beat forecast 18 pct
803,The Bank is also examining the benefits of transferring the Swedish business to operate as a branch office so that the operations would be governed by Finland 's laws .,neutral,0,Bank examine benefit transfer swedish business operate branch office operation govern Finland law
804,"Motorola Inc. of the United States came second with shipments of 217.4 million units for a 21.3 percent market share , followed by South Korea 's Samsung Electronics Co. with shipments of 118.0 million units for an 11.6 percent share .",neutral,0,Motorola Inc. United States come second shipment 217.4 million unit 21.3 percent market share follow South Korea Samsung Electronics Co. shipment 118.0 million unit 11.6 percent share
805,"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 .",neutral,0,maximum capital loan EUR30 m minimum subscription eur10 000
806,"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a",neutral,0,adpnews Feb 3 2010 Finland base steel maker Rautaruukki Oyj HEL RTRKS Ruukki say today slip large expect pretax loss EUR 46 million usd 64.5 m fourth quarter 2009
807,"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade",positive,1,@sharkbiotech sell short $ AGN b c you believe $ ENDP rumor realistic trade
808,The company is listed on the Nordic Exchange in Helsinki .,neutral,0,company list Nordic Exchange Helsinki
809,$PYPL great vol flow trade here.. Love this company long time.,positive,1,$ pypl great vol flow trade love company long time
810,$V A potential bearish shark pattern if point B $226 to be taken out. http://stks.co/i0GGH,negative,-1,$ V potential bearish shark pattern point b $ 226 take http://stks.co/i0GGH
811,"Both operating profit and turnover for the nine-month period increased , respectively from EUR2 .4 m and EUR43 .8 m , as compared to the corresponding period a year ago .",positive,1,operating profit turnover month period increase respectively EUR2 .4 m EUR43 .8 m compare corresponding period year ago
812,"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .",neutral,0,order comprise ball mill organize different stream treat ore Pilanesberg platinum
813,"Alma Media Corporation PRESS RELEASE March 25 , 2010 TYRV+ä+äN SANOMAT PURCHASE CONFIRMED The business operations of Tyrv+ñ+ñn Sanomat Oy will be transferred to Suomen Paikallissanomat Oy .",neutral,0,Alma medium Corporation press RELEASE March 25 2010 TYRV+ä+äN sanomat PURCHASE CONFIRMED business operation Tyrv+ñ+ñn Sanomat Oy transfer Suomen Paikallissanomat Oy
814,Productional situation has now improved .,positive,1,productional situation improve
815,"SSH Communications Security Corporation is headquartered in Helsinki , Finland .",neutral,0,SSH Communications Security Corporation headquarter Helsinki Finland
816,"For the full 2010 the company expects its net sales and operating result to improve from the previous year , saying that a positive operating result and its amount will depend on the order intake by the end of the summer .",positive,1,2010 company expect net sale operating result improve previous year say positive operating result depend order intake end summer
817,"Operating margin , however , slipped to 14.4 % from 15.1 % , dragged down by a poor performance in enterprise solutions .",neutral,0,operate margin slip 14.4 15.1 drag down poor performance enterprise solution
818,Finnish metal products company Componenta Oyj net profit rose to 26.1 mln euro ( $ 35.9 mln ) for the first quarter of 2007 from 5.3 mln euro ( $ 7.3 mln ) for the same period of 2006 .,positive,1,finnish metal product company Componenta Oyj net profit rise 26.1 mln euro $ 35.9 mln quarter 2007 5.3 mln euro $ 7.3 mln same period 2006
819,"So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",positive,1,today close 8/15/14 long $ tsla $ AMTD $ TWTR $ FB $ AAPL $ celg long term technical swing long basis
820,"The acquired business main asset is a mobile authentication and signing solution , branded as Tectia MobileID , which provides authentication to web e-mail , SSL-VPN , MS SharePoint , Tectia Secure Solutions and other applications and resources .",neutral,0,acquire business main asset mobile authentication signing solution brand Tectia MobileID provide authentication web e mail SSL VPN MS SharePoint Tectia Secure Solutions application resource
821,"The report examines the medical equipment business structure and operations , history and products , and provides an analysis of its key medical equipment revenue lines .",neutral,0,report examine medical equipment business structure operation history product provide analysis key medical equipment revenue line
822,"ADPnews - Aug 3 , 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 .",neutral,0,ADPnews Aug 3 2009 finnish medium group Ilkka Yhtyma Oyj HEL ILK2S say today net profit fall 45 year EUR 5.9 million usd 8.4 m half 2009
823,The new technology improves the glass quality and consistency while increasing throughput .,positive,1,new technology improve glass quality consistency increase throughput
824,LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .,positive,1,LONDON MarketWatch Nokia nok say win year service contract run Hutchison Essar network operation location India
825,"@SOULLOR the regular scrappy Q $SWY usually presents. Sales weak, margins down, debt still way up.",negative,-1,@SOULLOR regular scrappy q $ SWY usually present sale weak margin down debt way
826,"Operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",negative,-1,operate profit margin 8.3 compare 11.8 year early
827,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",positive,1,consolidated net sale increase 16 reach EUR74 .8 m operate profit amount EUR0 .9 m compare loss EUR0 .7 m prior year period
828,Finnish forest machinery manufacturer Ponsse has issued a profit warning .,neutral,0,finnish forest machinery manufacturer Ponsse issue profit warning
829,"`` The enterprise value of the Fray Bentos pulp mill and Forestal Oriental totals approximately euro1 .6 billion , '' UPM said .",neutral,0,` ` enterprise value Fray Bentos pulp mill Forestal oriental total approximately euro1 .6 billion UPM say
830,Rental of building equipment accounted for 88 percent of the operating income .,neutral,0,rental building equipment account 88 percent operating income
